Source,Mission,Planet,Launch,Year,EFPA (deg),Speed (km/s),Trim L/D,Control method,beta (kg/m2),Peak deceleration (g),Shape,Nose radius (m),Base area (m2),Base diameter (m),Entry mass (kg),Payload mass (kg),TPS mass fraction,Peak convective heating (W/cm2),Peak radiative heating (W/cm2),Peak heating stagnation pressure (atm),Integrated heat load (kJ/cm2),Peak stagnation heat rate (W/cm2),Forebody TPS material,Forebody TPS thickness (cm),Forebody TPS mass (kg),Aftbody TPS material,Aftbody TPS thickness (cm),Aftbody TPS mass (kg),Country,Successful,Status
NASA Ames Blue Book,MER B,Mars,2003,2004,-10.75,5.39,0,Ballistic,88.96,4.78,70 deg. sphere-cone,0.66,5.499,2.65,832.2,NA,5.6,37.72,0,0.08,3.064,37.75,SLA-561V,1.57,NA,SLA-561V,0.5,10.4,USA,Yes,Flown
NASA Ames Blue Book,MSL,Mars,2011,2012,-16,5.8,0.24,Roll modulation,146,9.7,70 deg. sphere-cone,1.125,15.9,4.5,3257,NA,NA,197,0,NA,5.477,197,PICA,3.18,NA,SLA-561V,1.27,NA,USA,Yes,Flown
NASA Ames Blue Book,IRVE-3,Earth,2012,2012,-74,2.7,0.2,Roll modulation,58,20,60 deg. sphere-cone,0.191,7.07,3,281,NA,20,14,0,NA,0.193,14,Nextel,0.6,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Hayabusa 2,Earth,2014,2020,-12.06,11.58,0,Ballistic,113.5,46.3,45 deg. sphere-cone,0.202,0.1287,0.404,16,NA,NA,1110,180,0.44,27,1300,Carbon-phenolic,NA,NA,Carbon-phenolic,2,NA,Japan,Yes,Flown
NASA Ames Blue Book,Orion EFT-1,Earth,2014,2014,-12.6,8.9,0.25,Roll modulation,360,3.2,Spherical section,6.035,19.8,5.03,9611,NA,5.9,170,15,0.56,25,185,Avcoat,4,454,NA,4.2,NA,USA,Yes,Flown
Other,CARE,Earth,2015,2015,0,5.326,0,Ballistic,350,12.5,Spherical section,3,7.54,2.1,3735,NA,NA,50,0,NA,2.5,50,NA,NA,NA,NA,NA,NA,India,Yes,Flown
NASA Ames Blue Book,ExoMars 2016,Mars,2016,2016,-12.43,5.83,NA,NA,74.6,NA,70 deg. sphere-cone,0.6,4.52,2.4,577,NA,17,70,10,0.11,NA,80,Norcoat,1.8,80,Norcoat,1.5,20,ESA,No,Flown
NASA Ames Blue Book,OSIRIS-REX,Earth,2016,2023,-8.2,12.2,0,Ballistic,71,32,60 deg. sphere-cone,0.23,0.52,0.827,46,NA,22,1070,130,0.22,36,1200,PICA,5.82,NA,SLA-561V,1.397,NA,USA,NA,Planned
NASA Ames Blue Book,Mars 2020,Mars,2020,2021,-16.18,5.33,0.248,Roll modulation,143.2,10.73,70 deg. sphere-cone,1,15.9,4.5,3317,NA,8.4,68.4,0,0.24,1.672,68.4,PICA,3.18,212,SLA-561V,1.27,64,USA,Yes,Flown
Author estimated,Tianwen-1,Mars,2020,2021,-11.6,4.9,0.15,Roll modulation,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,China,Yes,Flown
Author estimated,Dragonfly,Titan,2027,2034,-49.7,7.3,0,Ballistic,140,12,60 deg. sphere-cone,0.43,10.75,2,1000,NA,NA,100,0,NA,8,100,NA,NA,NA,NA,NA,NA,USA,NA,Planned
Decadal Mission Study,Uranus Probe (Decadal),Uranus,2032,2045,-30.7,20.5,0,Ballistic,216,114,45 deg. sphere-cone,0.4,1.23,1.26,265,120,NA,NA,NA,NA,NA,1876,HEEET,NA,NA,NA,NA,NA,USA,NA,Planned
Ice Giant Pre-Decadal Study,Uranus Probe Design #2 (Pre-Decadal),Uranus,2030,2041,-30,21.1,0,Ballistic,283,165,45 deg. sphere-cone,0.4,1.13,1.2,320,154,10,2498,NA,9,41,2498,HEEET,NA,28.67,PICA,NA,3.5,USA,NA,Proposed
Ice Giant Pre-Decadal Study,Neptune Probe Design #3 (Pre-Decadal),Neptune,2030,2043,-20,23.73,0,Ballistic,283,208,45 deg. sphere-cone,0.4,1.13,1.2,320,154,12,5362,99,11.5,109,5462,HEEET,NA,39,PICA,NA,5,USA,NA,Proposed
Girija et al. (2023),Mars SmallSat aerocapture,Mars,2030,2031,-9.25,5.36,0,Ballistic,20,2.5,60 deg. sphere-cone,0.2,1.766,1.5,50,25,NA,20,0,NA,11,20,Carbon-cloth,NA,NA,NA,NA,NA,NA,NA,Proposed
Girija et al. (2023),Venus SmallSat aerocapture,Venus,2030,2031,-5.2,10.8,0,Ballistic,20,7,60 deg. sphere-cone,0.2,1.766,1.5,50,25,NA,191,0,0,22,191,Carbon-cloth,NA,NA,NA,NA,NA,NA,NA,Proposed
Girija et al. (2023),Uranus aerocapture,Uranus,2031,2039,-11.7,29.36,0.24,Roll modulation,146,10,70 deg. sphere-cone,1.125,15.9,4.5,3238,1770,20,2000,NA,NA,230,2000,HEEET,NA,NA,NA,NA,NA,NA,NA,Proposed
