Hgt_km	Lat	LonW	Temp_K	 Pres_Pa	Dens_kgm3	Uwind	Vwind
3.836	-10.3	195.5	89.27	1.21E+05	4.60E+00	-0.17	0
3.859	-10.3	195.5	89.25	1.21E+05	4.60E+00	-0.2	0
3.882	-10.3	195.5	89.23	1.21E+05	4.60E+00	-0.5	0
3.905	-10.3	195.5	89.2	1.21E+05	4.59E+00	-0.7	0
3.954	-10.3	195.5	89.14	1.20E+05	4.58E+00	-0.6	0
3.977	-10.3	195.5	89.11	1.20E+05	4.58E+00	-0.56	0
4.000	-10.3	195.5	89.09	1.20E+05	4.57E+00	-0.82	0
4.023	-10.3	195.5	89.06	1.20E+05	4.57E+00	-0.6	0
4.045	-10.3	195.5	89.04	1.20E+05	4.57E+00	-0.61	0
4.068	-10.3	195.5	89.01	1.20E+05	4.56E+00	-0.87	0
4.091	-10.3	195.5	89	1.20E+05	4.56E+00	-0.75	0
4.114	-10.3	195.5	88.98	1.19E+05	4.55E+00	-0.72	0
4.137	-10.3	195.5	88.95	1.19E+05	4.55E+00	-0.72	0
4.160	-10.3	195.5	88.93	1.19E+05	4.54E+00	-0.65	0
4.183	-10.3	195.5	88.91	1.19E+05	4.54E+00	-0.65	0
4.206	-10.3	195.5	88.9	1.19E+05	4.54E+00	-0.7	0
4.229	-10.3	195.5	88.87	1.19E+05	4.53E+00	-0.95	0
4.252	-10.3	195.5	88.85	1.19E+05	4.53E+00	-0.79	0
4.275	-10.3	195.5	88.82	1.18E+05	4.52E+00	-0.8	0
4.298	-10.3	195.5	88.8	1.18E+05	4.52E+00	-0.74	0
4.322	-10.3	195.5	88.79	1.18E+05	4.51E+00	-1.06	0
4.345	-10.3	195.5	88.76	1.18E+05	4.51E+00	-0.99	0
4.395	-10.3	195.5	88.71	1.18E+05	4.50E+00	-0.75	0
4.418	-10.3	195.5	88.69	1.18E+05	4.50E+00	-0.99	0
4.441	-10.3	195.5	88.67	1.17E+05	4.49E+00	-0.81	0
4.464	-10.3	195.5	88.66	1.17E+05	4.49E+00	-0.75	0
4.487	-10.3	195.5	88.62	1.17E+05	4.48E+00	-0.78	0
4.510	-10.3	195.5	88.61	1.17E+05	4.48E+00	-0.85	0
4.533	-10.3	195.5	88.58	1.17E+05	4.47E+00	-0.86	0
4.557	-10.3	195.5	88.56	1.17E+05	4.47E+00	-0.61	0
4.580	-10.3	195.5	88.56	1.17E+05	4.46E+00	-0.5	0
4.603	-10.3	195.5	88.54	1.16E+05	4.46E+00	-0.47	0
4.626	-10.3	195.5	88.52	1.16E+05	4.45E+00	-0.46	0
4.649	-10.3	195.5	88.5	1.16E+05	4.45E+00	-0.45	0
4.672	-10.3	195.5	88.48	1.16E+05	4.45E+00	-0.45	0
4.695	-10.3	195.5	88.47	1.16E+05	4.44E+00	-0.44	0
4.719	-10.3	195.5	88.45	1.16E+05	4.44E+00	-0.43	0
4.742	-10.3	195.5	88.44	1.16E+05	4.43E+00	-0.42	0
4.765	-10.3	195.5	88.4	1.16E+05	4.43E+00	-0.42	0
4.788	-10.3	195.5	88.37	1.15E+05	4.43E+00	-0.41	0
4.812	-10.3	195.5	88.36	1.15E+05	4.42E+00	-0.4	0
4.835	-10.3	195.5	88.33	1.15E+05	4.42E+00	-0.39	0
4.859	-10.3	195.5	88.31	1.15E+05	4.41E+00	-0.38	0
4.882	-10.3	195.5	88.29	1.15E+05	4.41E+00	-0.38	0
4.906	-10.3	195.5	88.28	1.15E+05	4.40E+00	-0.37	0
4.929	-10.3	195.5	88.26	1.15E+05	4.40E+00	-0.36	0
4.953	-10.3	195.5	88.23	1.14E+05	4.39E+00	-0.35	0
4.976	-10.3	195.5	88.2	1.14E+05	4.39E+00	-0.34	0
5.000	-10.3	195.5	88.19	1.14E+05	4.38E+00	-0.34	0
5.050	-10.3	195.5	88.15	1.14E+05	4.37E+00	-0.32	0
5.074	-10.3	195.5	88.13	1.14E+05	4.37E+00	-0.31	0
5.097	-10.3	195.5	88.12	1.14E+05	4.37E+00	-0.31	0
5.120	-10.3	195.5	88.1	1.13E+05	4.36E+00	-0.3	0
5.144	-10.3	195.5	88.06	1.13E+05	4.36E+00	-0.29	0
